matrix,library,rows,cols,nnz,median_s,mean_s,std_s,min_s,max_s,gflops,bw_gbs,iters
atmosmodd,petsc,1270432,1270432,8814880,0.023218833,0.023246871,0.000140795,0.023065474,0.023615147,0.759,5.650,100
thermal2,petsc,1228045,1228045,8580313,0.026124465,0.026122261,0.000161460,0.025765196,0.026567362,0.657,4.881,100
