matrix,library,rows,cols,nnz,median_s,mean_s,std_s,min_s,max_s,gflops,bw_gbs,iters
atmosmodd,faer,1270432,1270432,8814880,0.011115096,0.011119479,0.000190101,0.010868310,0.012814078,1.586,15.432,1000
thermal2,faer,1228045,1228045,4904179,0.017218074,0.017223887,0.000224661,0.016814138,0.018759695,0.570,6.269,1000
