Benchmark,Matrix,Configuration,Elements,Time estimate (ns),Throughput (GFLOP/s),nnz,Samples
spmv,caidaRouterLevel,mkl/csc_ie,2436264,2623851.8375,0.9285066958358696,1218132,2
spmv,caidaRouterLevel,mkl/csr_ie,2436264,1137414.60625,2.1419313472966928,1218132,2
spmv,caidaRouterLevel,petsc/csr,2436264,1193483.4125,2.0413052870979884,1218132,2
spmv,caidaRouterLevel,psblas/csc,2436264,1871548.225,1.3017372288122577,1218132,2
spmv,caidaRouterLevel,psblas/csr,2436264,1849624.5625,1.317166764214616,1218132,2
spmv,cant,eigen/csc_map,8014766,2078818.0375,3.8554437451575168,4007383,2
spmv,cant,eigen/csr_map,8014766,1654821.5375,4.843281174662618,4007383,2
spmv,cant,faer/csc,8014766,1702068.5875,4.708838444502461,4007383,2
spmv,cant,faer/csr,8014766,1580988.775,5.069464202868866,4007383,2
spmv,cant,mkl/csc_ie,8014766,1855969.9375,4.318370593219805,4007383,2
spmv,cant,mkl/csr_ie,8014766,1236097.690625,6.483926036580123,4007383,2
spmv,cant,petsc/csr,8014766,1244729.2125,6.438963526775909,4007383,2
spmv,cant,psblas/csc,8014766,2201027.2375,3.641375201291665,4007383,2
spmv,cant,psblas/csr,8014766,1672668.03125,4.791605895648338,4007383,2
spmv,circuit5M,eigen/csc_map,119048582,74107440.2,1.6064322513193483,59524291,2
spmv,circuit5M,eigen/csr_map,119048582,71665286.6,1.6611749934730604,59524291,2
spmv,circuit5M,faer/csc,119048582,57730507.4,2.062143351263876,59524291,2
spmv,circuit5M,faer/csr,119048582,50888919.2,2.339381222307429,59524291,2
spmv,circuit5M,mkl/csc_ie,119048582,73451737.8,1.6207728443968823,59524291,2
spmv,circuit5M,mkl/csr_ie,119048582,49948633.6,2.383420194301371,59524291,2
spmv,circuit5M,petsc/csr,119048582,49773959.8,2.3917844286120067,59524291,2
spmv,circuit5M,psblas/csc,119048582,57936806.2,2.054800563031381,59524291,2
spmv,circuit5M,psblas/csr,119048582,53694668.6,2.217139710589442,59524291,2
spmv,citationCiteseer,eigen/csc_map,4626588,3741936.5,1.2364154228699498,2313294,2
spmv,citationCiteseer,eigen/csr_map,4626588,3342502.025,1.3841690941084768,2313294,2
spmv,citationCiteseer,faer/csc,4626588,3719943.225,1.2437254334708292,2313294,2
spmv,citationCiteseer,faer/csr,4626588,5286214.875,0.875217544008746,2313294,2
spmv,citationCiteseer,mkl/csc_ie,4626588,4845732.0,0.9547758728712193,2313294,2
spmv,citationCiteseer,mkl/csr_ie,4626588,2316963.6875,1.9968323305886941,2313294,2
spmv,citationCiteseer,petsc/csr,4626588,2357765.7,1.9622764043093848,2313294,2
spmv,citationCiteseer,psblas/csc,4626588,3328970.95,1.3897952458852185,2313294,2
spmv,citationCiteseer,psblas/csr,4626588,3246721.875,1.4250028730902613,2313294,2
